Year Assigned,Month Assigned,Assignment Type,Structure Number,Structure Type,Parallel Structure,County,Division,Structure Length,Deck Width,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Year Built,Year Reconstructed,Latitude,Longitude,Google Maps Url,Superstructure,Substructure,Feature Carried,Feature Intersected
2025,8,State,310030,BRIDGE,,DURHAM,5,317.1,33,7,7,6,,1990,,36.08801897,-78.82708103,"http://maps.google.com/maps?q=36.0880189674246,-78.8270810262631&z=20&ll=36.0880189674246,-78.8270810262631&t=k",PRESTRESSED CONCRETE CORED SLAB,E.BTS:RC CAPS/H-PILES;BT1-3&6:RC CAPS/H-PILES;BT4&5:RCP&B,SR1632,ENO RIVER
2025,8,State,310049,BRIDGE,,DURHAM,5,186.7,33.5,5,6,5,,1964,,36.05934434,-78.97804028,"http://maps.google.com/maps?q=36.059344336102,-78.978040283807&z=20&ll=36.059344336102,-78.978040283807&t=k",REINF.CONC.FLOOR ON PRESTRESSED CONCRETE GIRDERS,EBT1:RC CAP/SPR.FTG;EBT2:RC CAP/H PILES;IBT:RCP&B,SR1401,ENO RIVER
2025,8,State,310100,BRIDGE,,DURHAM,5,322,48,5,6,5,,1966,,35.90248176,-78.8794264,"http://maps.google.com/maps?q=35.9024817628522,-78.8794264041972&z=20&ll=35.9024817628522,-78.8794264041972&t=k",RC DECK ON I-BEAMS,EBT:RC CAP/12 STL.PILES;IBT:3 COL.RCP&B,SR2028,I40
2025,8,State,310188,BRIDGE,L,DURHAM,5,317.8,48.8,6,6,6,,1970,,35.97231872,-78.87034956,"http://maps.google.com/maps?q=35.9723187207494,-78.8703495631474&z=20&ll=35.9723187207494,-78.8703495631474&t=k",REINFORCED CONCRETE DECK ON STEEL PLATE GIRDERS & I-BEAMS,E.BTS:RC CAPS/H-PILES;BTS:RCP&B/PILE FTG.,NC147S,SOUTHERN RR
2025,8,State,310189,BRIDGE,R,DURHAM,5,365.5,58.6,6,6,6,,1970,,35.97275667,-78.87047001,"http://maps.google.com/maps?q=35.9727566734808,-78.8704700100549&z=20&ll=35.9727566734808,-78.8704700100549&t=k",REINFORCED CONCRETE DECK ON STEEL PLATE GIRDERS,E.BTS:RC CAPS/H-PILES;BTS:RCP&B/PILE FTGS,NC147NBL,SOUTHERN RAILROAD
2025,8,State,310224,BRIDGE,,DURHAM,5,231,94,6,7,6,,1973,,35.89443176,-78.86006215,"http://maps.google.com/maps?q=35.8944317648293,-78.8600621535362&z=20&ll=35.8944317648293,-78.8600621535362&t=k",RC FLOOR ON CONT.STEEL PLATE GIRDERS,E.BTS:RC CAPS / H-PILES;IBT:RC P & BEAM,SR1999,I40
2025,8,State,310228,BRIDGE,,DURHAM,5,279,98.9,5,7,6,,1969,,35.89064452,-78.8486606,"http://maps.google.com/maps?q=35.8906445197641,-78.8486605994018&z=20&ll=35.8906445197641,-78.8486605994018&t=k",REINFORCED CONCRETE DECK ON I-BEAMS (CONTINUOUS),"E.BTS:RC CAPS ON STEEL PILES;INT.BTS:RCP&B, BT#1 W/SPR.FTGS., BT#2&3 W/SPR. & PILE FTGS.",SR1959,I40
2025,8,State,310301,BRIDGE,,DURHAM,5,201,121,6,6,5,,1986,,35.95078387,-78.99896626,"http://maps.google.com/maps?q=35.9507838677882,-78.9989662567572&z=20&ll=35.9507838677882,-78.9989662567572&t=k",RC DECK ON STEEL PLATE GIRDERS,EBTS&IBT:R.C.CAP ON RCB&BEAM,"US15,US501",I40
2025,8,State,310306,BRIDGE,,DURHAM,5,208,109.9,7,7,7,,2001,,35.90873724,-78.93577689,"http://maps.google.com/maps?q=35.9087372398799,-78.9357768895219&z=20&ll=35.9087372398799,-78.9357768895219&t=k","RC FLOOR/STEEL PLATE GIRDERS, APPROACH SLABS","END BENTS: RC CAPS ON STEEL PILES, MSE HEADWALLS & CHEEKWALLS; INT.BENT: RCP&BEAM",SR1118,I40
2025,8,State,310307,BRIDGE,L,DURHAM,5,286,66.1,6,6,6,,1986,,35.90948821,-78.93032577,"http://maps.google.com/maps?q=35.9094882055389,-78.9303257712013&z=20&ll=35.9094882055389,-78.9303257712013&t=k",RC DECK ON STEEL PLATE GIRDERS,END BENTS: RC CAPS ON STL PILE; IBTS: RC CAPS ON RCP&B/STL PILE FTG,I40W,NC54
