Year Assigned,Month Assigned,Assignment Type,Structure Number,Structure Type,Parallel Structure,County,Division,Structure Length,Deck Width,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Year Built,Year Reconstructed,Latitude,Longitude,Google Maps Url,Superstructure,Substructure,Feature Carried,Feature Intersected
2025,4,State,340064,BRIDGE,,FRANKLIN,5,120,33.3,7,6,7,,1962,,36.03796843,-78.30077259,"http://maps.google.com/maps?q=36.0379684287477,-78.3007725882304&z=20&ll=36.0379684287477,-78.3007725882304&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,END & INTERIOR BENTS:RC CAPS ON PPC PILES,NC39,CEDAR CREEK OVERFLOW
2025,4,State,500023,BRIDGE,,JOHNSTON,4,183.7,36.2,7,7,4,,1997,,35.73463499,-78.28253955,"http://maps.google.com/maps?q=35.7346349916719,-78.2825395536743&z=20&ll=35.7346349916719,-78.2825395536743&t=k",PRESTRESSED CONC.CORED SLAB,E.BTS & I.BTS:RC CAPS H-PILES,NC231,LITTLE RIVER
2025,4,State,500159,BRIDGE,,JOHNSTON,4,157,27,7,7,6,,1989,,35.7301187,-78.18958129,"http://maps.google.com/maps?q=35.7301186959068,-78.1895812935424&z=20&ll=35.7301186959068,-78.1895812935424&t=k",PRECAST PRESTRESSED CORED SLAB,"EBTS: RC CAP/ STL. H-PILES, IBTS:RC CAPS/ POST& BEAM/ SPREAD FTGS.",SR1733,MOCCASIN CREEK
2025,4,State,500229,BRIDGE,,JOHNSTON,4,150,32.5,6,6,5,,1969,,35.57917411,-78.17230558,"http://maps.google.com/maps?q=35.5791741091362,-78.172305581115&z=20&ll=35.5791741091362,-78.172305581115&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,END BTS:RC CAP/STL.PILES;BTS:RCP&B,SR2144,LITTLE RIVER
2025,4,State,500446,BRIDGE,,JOHNSTON,4,90.5,28.5,6,6,5,,1963,,35.61138346,-78.20738126,"http://maps.google.com/maps?q=35.611383461667,-78.2073812557199&z=20&ll=35.611383461667,-78.2073812557199&t=k",MONOLITHIC RC SLAB,E.BTS&BTS:RC CAP/PPC PILES,SR2130,LITTLE RIVER OVERFLOW
2025,4,State,900015,BRIDGE,,VANCE,5,67,20.4,7,3,6,,1953,,36.27568392,-78.49110755,"http://maps.google.com/maps?q=36.2756839152407,-78.4911075507819&z=20&ll=36.2756839152407,-78.4911075507819&t=k","PRESTRESSED CONCRETE BIX BEAMS, APPROACH SLABS",END BENTS: RC CAPS ON STEEL PILES,SR1125,LITTLE RUIN CREEK
2025,4,State,910012,BRIDGE,,WAKE,5,142,46.8,7,6,6,,1980,,35.98784045,-78.68569917,"http://maps.google.com/maps?q=35.9878404519598,-78.6856991653482&z=20&ll=35.9878404519598,-78.6856991653482&t=k","RC DECK ON I-BEAMS, APPROACH SLABS",E.BTS:RC CAPS/H-PILES;INT.BTS:RCP&BEAM,NC98,NC50
2025,4,State,910023,BRIDGE,,WAKE,5,175,31.6,5,5,6,,1947,,35.58651486,-78.65528571,"http://maps.google.com/maps?q=35.5865148604622,-78.6552857079742&z=20&ll=35.5865148604622,-78.6552857079742&t=k",REINFORCED CONCRETE DECK GIRDERS,E.BTS:RC CAP ON TIMBER PILES;INT.BTS:RC POST & BEAM,NC42,MIDDLE CREEK
2025,4,State,910025,BRIDGE,,WAKE,5,215,42.3,7,8,7,,1998,,35.66084128,-78.60979815,"http://maps.google.com/maps?q=35.6608412847964,-78.6097981473251&z=20&ll=35.6608412847964,-78.6097981473251&t=k","RC DECK ON CONT PRESTRESSED CONCRETE GIRDERS, PC DECK PANELS, APPROACH SLABS","END BENTS:RC CAPS ON STEEL PILES, INTERIOR BENTS:RC CAPS ON DRILLED SHAFT PIERS",NC50,SWIFT CREEK
2025,4,State,910130,BRIDGE,,WAKE,5,82,51,8,8,8,,2015,,35.93778675,-78.50733743,"http://maps.google.com/maps?q=35.9377867515055,-78.5073374263541&z=20&ll=35.9377867515055,-78.5073374263541&t=k","PRECAST PRESTRESSED CONCRETE BOX BEAM, APPROACH SLABS","EBTS: RC CAPS ON STEEL H-PILES @ 6'-9"" CENTERS",SR 2049,SANFORD CREEK
