Year Assigned,Month Assigned,Assignment Type,Structure Number,Structure Type,Parallel Structure,County,Division,Structure Length,Deck Width,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Year Built,Year Reconstructed,Latitude,Longitude,Google Maps Url,Superstructure,Substructure,Feature Carried,Feature Intersected
2025,9,State,220470,BRIDGE,,CLEVELAND,12,257,31.3,7,8,8,,2019,,35.32586182,-81.53170469,"http://maps.google.com/maps?q=35.3258618212368,-81.5317046854931&z=20&ll=35.3258618212368,-81.5317046854931&t=k","RC FLOOR ON PRESTRESSED CONCRETE MODIFIED BULB TEE, SIP FORMS, APPROACH SLAB","E.BTS:RC CAPS ON H-PILES @ 6'-2"" CENTERS; INT BTS: RC CAPS/RC COLMN FTG.",SR1827,DIRT
2025,9,State,330432,BRIDGE,L,FORSYTH,9,146,50.8,7,7,7,,1989,,36.06425564,-80.18830481,"http://maps.google.com/maps?q=36.0642556426349,-80.1883048143879&z=20&ll=36.0642556426349,-80.1883048143879&t=k","REINFORCED CONCRETE DECK ON I-BEAMS, SIP FORMS, APPROACH SLABS","END BENTS:RC CAP ON STEEL PILES, INT. BENTS:RC POST & BEAM W/PILE FTGS",I40 WBL,"I74 EBL, US311 SBL RAMP"
2025,9,State,330433,BRIDGE,R,FORSYTH,9,147,53.7,7,8,7,,1989,,36.06407104,-80.18810307,"http://maps.google.com/maps?q=36.0640710405437,-80.1881030690747&z=20&ll=36.0640710405437,-80.1881030690747&t=k","RC DECK ON I-BEAMS, SIP FORMS, APPROACH SLABS","END BENTS:RC CAPS ON STEEL PILES, INT. BENTS:RC POST & BEAM ON PILE FOOTINGS",I40 EBL,"I74EBL, US311SBL RAMP"
2025,9,State,330434,BRIDGE,R,FORSYTH,9,140,42.8,7,7,6,,1989,,36.06518502,-80.18710568,"http://maps.google.com/maps?q=36.065185024444,-80.1871056832256&z=20&ll=36.065185024444,-80.1871056832256&t=k","REINFORCED CONCRETE DECK ON I-BEAMS, SIP FORMS, APPROACH SLABS","E.BTS:RC CAPS ON STEEL PILES, INT.BTS:3 COL., RC POST & BEAM ON PILE FTGS.",I40 WBL,"I74, US311 WBL"
2025,9,State,330435,BRIDGE,R,FORSYTH,9,137,50.8,7,6,7,,1989,,36.06501152,-80.18688153,"http://maps.google.com/maps?q=36.0650115167934,-80.1868815331133&z=20&ll=36.0650115167934,-80.1868815331133&t=k",RC DECK ON I-BEAMS (SIP METAL FORMS) APPROACH SLABS,"EBTS:RC CAP ON STEEL PILES, INT. BTS:RC POST & BEAM W/PILE FTGS",I40 EBL,"I74, US311 WBL"
2025,9,State,330454,BRIDGE,,FORSYTH,9,199,126.8,7,7,7,,1991,,36.06536709,-80.25821164,"http://maps.google.com/maps?q=36.0653670897103,-80.2582116422228&z=20&ll=36.0653670897103,-80.2582116422228&t=k","RC DECK ON HAUNCHED I-BEAMS & PLATE GIRDERS, SIP FORMS, APPROACH SLABS","EBT#1:RC CAP & STEEL PILES, EBT#2:RC FULL HT, PILE FOOTINGS., INT.BTS:RC POST & BEAM, PILE FOOTINGS",NC150,I40
2025,9,State,330455,BRIDGE,,FORSYTH,9,232,47.7,7,7,7,,1991,,36.06351785,-80.29244841,"http://maps.google.com/maps?q=36.063517847402,-80.2924484119549&z=20&ll=36.063517847402,-80.2924484119549&t=k","RC DECK ON PPC GIRDERS, PPC DECK PANELS, APPROACH SLABS","ABUTMENTS:RC SPILL THROUGH, INT.BENTS:3 COL. RC POST & BEAM",BURKE MILL ROAD,I40
2025,9,State,330456,BRIDGE,,FORSYTH,9,216,52.6,7,7,7,,1992,,36.06600041,-80.23875268,"http://maps.google.com/maps?q=36.066000408656,-80.2387526809&z=20&ll=36.066000408656,-80.2387526809&t=k","RC DECK ON PLATE GIRDERS, SIP FORMS, APPROACH SLABS","EBTS:RC CAPS ON STEEL PILES, INT.BT:RC POST & BEAM, PILE FTGS",SOUTH MAIN STREET,I40
2025,9,State,330536,CULVERT,,FORSYTH,9,48,157,,,,7,1962,,36.16828235,-80.27685148,"http://maps.google.com/maps?q=36.1682823485988,-80.2768514805385&z=20&ll=36.1682823485988,-80.2768514805385&t=k","QUADRUPLE 10'X'7' RCBC, 155'0"" ALONG CENTERLINE OF CULVERT",,SR4000,LEAK FORK CREEK
2025,9,State,330549,PIPE,,FORSYTH,9,45,79,,,,4,1970,,36.11375304,-80.21032118,"http://maps.google.com/maps?q=36.1137530409429,-80.2103211847178&z=20&ll=36.1137530409429,-80.2103211847178&t=k","2 LINES OF 18'6"" X 8'3"" STRUCTURAL PLATE ARCH WITH CONCRETE BOTTOM, 78`11"" ALONG CENTERLINE OF ARCH","CONCRETE HEADWALLS, PEDESTRIAN FENCES AT HEADWALLS",US311,BRUSHY FORK CREEK
2025,9,State,330700,BRIDGE,,FORSYTH,9,221,60.9,7,8,7,,2019,,36.1524052,-80.17943605,"http://maps.google.com/maps?q=36.1524051995642,-80.1794360503249&z=20&ll=36.1524051995642,-80.1794360503249&t=k",RC FLOOR ON CONC.MODIFIED BULB TEE,"E.BT: RC CAPS ON H- PILES @ 6'-5"" CENTERS; INT.BT:RCCAP/RCCOLUMNS/PILE FOOTINGS",US311,I-74
2025,9,State,480006,BRIDGE,R,IREDELL,12,910,33.3,5,5,6,,1957,1997,35.7430822,-81.07470587,"http://maps.google.com/maps?q=35.743082198987,-81.0747058690143&z=20&ll=35.743082198987,-81.0747058690143&t=k",REINFORCED CONCRETE DECK ON CONTINUOUS I-BEAMS,E.BTS:RC CAPS/H- PILES;INT.BTS:RC POST&BEAM,I40 EBL,CATAWBA RIVER
2025,9,State,480007,BRIDGE,L,IREDELL,12,913,33.3,7,5,5,,1957,1996,35.74319801,-81.07489015,"http://maps.google.com/maps?q=35.7431980145284,-81.074890154628&z=20&ll=35.7431980145284,-81.074890154628&t=k",REINFORCED CONCRETE DECK ON CONT. I-BEAMS,E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAM,I-40 WBL,CATAWBA RIVER
2025,9,State,480051,BRIDGE,R,IREDELL,12,180,33.3,4,5,6,,1957,,35.75524748,-81.04529566,"http://maps.google.com/maps?q=35.7552474848727,-81.0452956601229&z=20&ll=35.7552474848727,-81.0452956601229&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,"E.BTS:RC CAPS/PPC PILES,INT.BNTS:RC POST&BEAM",I40 EBL,BUFFALO SHOALS CREEK
2025,9,State,480054,BRIDGE,L,IREDELL,12,180,33.3,4,4,6,,1955,,35.75542141,-81.04529267,"http://maps.google.com/maps?q=35.7554214110392,-81.0452926676366&z=20&ll=35.7554214110392,-81.0452926676366&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,E.BNTS:RC CAPS ON H-PILES; INT.BNTS:RC POST&BEAM/SPREAD FTGS.,I40 WBL,BUFFALO SHOALS CREEK
2025,9,State,480065,BRIDGE,R,IREDELL,12,185,33.3,6,5,6,,1957,,35.75635035,-81.04278595,"http://maps.google.com/maps?q=35.7563503465002,-81.0427859505973&z=20&ll=35.7563503465002,-81.0427859505973&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,E.BTS:RC CAPS/PPC PILES; INT.BTS: RC POST&BEAM,I40 EBL,SR1505 & GOBLE CREEK
2025,9,State,480066,BRIDGE,L,IREDELL,12,185,33.3,6,5,5,,1955,,35.75654136,-81.04271819,"http://maps.google.com/maps?q=35.756541363089,-81.0427181921277&z=20&ll=35.756541363089,-81.0427181921277&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,"E.BTS:RC CAPS/H-PILES, INT. BTS: RC POST & BEAM",I-40 WBL,SR1505 & GOBLE CREEK
2025,9,State,480072,BRIDGE,R,IREDELL,12,120,33.7,6,5,5,,1957,,35.76936768,-81.0065466,"http://maps.google.com/maps?q=35.7693676843681,-81.0065465954498&z=20&ll=35.7693676843681,-81.0065465954498&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,E.BTS&INT.BTS:RC CAPS/H-PILES,I40 EBL,SR1510
2025,9,State,480073,BRIDGE,L,IREDELL,12,120,33.7,6,5,6,,1955,,35.76947425,-81.00668792,"http://maps.google.com/maps?q=35.7694742545465,-81.0066879185079&z=20&ll=35.7694742545465,-81.0066879185079&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,E.BTS&INT.BTS:RC CAPS/H-PILES,I40 WBL,SR1510
2025,9,State,480096,BRIDGE,R,IREDELL,12,180,33.4,6,5,5,,1957,,35.78649175,-80.9582733,"http://maps.google.com/maps?q=35.7864917493295,-80.9582733026458&z=20&ll=35.7864917493295,-80.9582733026458&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,E.BTS:RC CAPS/PPC PILES; INT.BTS:RC POST&BEAM,I40 EBL,THIRD CREEK
2025,9,State,480102,BRIDGE,L,IREDELL,12,180,33.4,5,5,5,,1955,,35.78662767,-80.95834252,"http://maps.google.com/maps?q=35.786627666214,-80.9583425247589&z=20&ll=35.786627666214,-80.9583425247589&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,E.BTS:RC CAPS/H-PILES; INT.BTS:RC P&B/SPREAD FTGS.,I40 WBL,THIRD CREEK
2025,9,State,480104,BRIDGE,R,IREDELL,12,240,33.5,6,7,6,,1960,1985,35.79378641,-80.93593179,"http://maps.google.com/maps?q=35.7937864079694,-80.9359317913363&z=20&ll=35.7937864079694,-80.9359317913363&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,E.BTS:RC CAPS/PPC PILES;INT.BTS:RC POST&BEAM/PILE FTGS.,I40 EBL,"US64,NC90"
2025,9,State,480109,BRIDGE,L,IREDELL,12,235,45.5,7,7,7,,1953,1985,35.79391,-80.93620015,"http://maps.google.com/maps?q=35.7939099992359,-80.9362001478354&z=20&ll=35.7939099992359,-80.9362001478354&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,E. BTS:RC CAPS/PPC PILES; INT.BTS:RC POST&BEAM,I40 WBL,"US64,NC90"
2025,9,State,480123,BRIDGE,R,IREDELL,12,134,45.5,6,6,5,,1960,1985,35.80153745,-80.90522181,"http://maps.google.com/maps?q=35.8015374499751,-80.9052218104996&z=20&ll=35.8015374499751,-80.9052218104996&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,E.BTS:RC CAPS/H-PILES; INT.BTS:RC POST & BEAM,I-40 EBL,NC115
2025,9,State,480124,BRIDGE,L,IREDELL,12,133,33.7,6,5,5,,1953,1985,35.80166426,-80.90536393,"http://maps.google.com/maps?q=35.8016642641759,-80.9053639343791&z=20&ll=35.8016642641759,-80.9053639343791&t=k",REINFORCED CONCRETE DECK GIRDERS,E.BTS: RC CAPS/H-PILES; INT.BTS: RC POST&BEAM,I40 WBL,NC115
