Year Assigned,Month Assigned,Assignment Type,Structure Number,Structure Type,Parallel Structure,County,Division,Structure Length,Deck Width,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Year Built,Year Reconstructed,Latitude,Longitude,Google Maps Url,Superstructure,Substructure,Feature Carried,Feature Intersected
2025,1,State,650002,BRIDGE,,NORTHAMPTON,1,249.8,46.8,6,5,6,,1978,,36.43204663,-77.58721581,"http://maps.google.com/maps?q=36.4320466342623,-77.5872158052735&z=20&ll=36.4320466342623,-77.5872158052735&t=k","RC DECK ON PC GIRDERS, SIP FORMS, APPROACH SLABS",E.BTS:RC CAP ON STL.PILES;INT.BTS:RC HAMMERHEAD PIERS,"US158,US301",ROANOKE RIVER OVER.
2025,1,State,650006,BRIDGE,,NORTHAMPTON,1,82,38.7,6,6,5,,1981,,36.53249516,-77.34290984,"http://maps.google.com/maps?q=36.5324951586061,-77.3429098369207&z=20&ll=36.5324951586061,-77.3429098369207&t=k",PRECAST PRESTRESSED CONCRETE CORED SLAB (STD.BMD19-35-90),E.BTS & INT.BTS: PPC CAP/H- STEEL PILES,SR1341,CYPRESS CREEK
2025,1,State,650009,BRIDGE,R,NORTHAMPTON,1,1135,51.1,5,7,7,,1999,,36.45029803,-77.62057765,"http://maps.google.com/maps?q=36.4502980344788,-77.620577648216&z=20&ll=36.4502980344788,-77.620577648216&t=k","RC DECK ON CONT STEEL PLATE GIRDERS, SIP FORMS, APPROACH SLABS",E.BTS:RC CAP/STL PILES ; I.BTS:RC CAPS&COLS/DRILLED SHAFT PIERS,I95N,ROANOKE RIVER
2025,1,State,650011,BRIDGE,L,NORTHAMPTON,1,1135,51.1,5,7,7,,1999,,36.45044927,-77.62085682,"http://maps.google.com/maps?q=36.4504492739275,-77.6208568241317&z=20&ll=36.4504492739275,-77.6208568241317&t=k","RC DECK ON PLATE GIRDERS (CONTINUOUS), SIP FORMS, APPROACH SLABS","E.BTS:RC CAP/STEEL PILES, I.BTS:RC CAP/DRILLED SHAFT PIERS",I95S,ROANOKE RIVER
2025,1,State,650017,BRIDGE,,NORTHAMPTON,1,39,19.9,6,6,5,,1953,,36.40464617,-77.25382361,"http://maps.google.com/maps?q=36.4046461654904,-77.2538236110906&z=20&ll=36.4046461654904,-77.2538236110906&t=k",TIMBER DECK ON TIMBER JOIST,E.BTS:TIM.CAPS ON RC;BTS:TIM.CAP ON RC,SR1508,DOOLITTLE MILL POND
2025,1,State,650044,BRIDGE,,NORTHAMPTON,1,46,30.4,5,5,4,,1979,,36.49607444,-77.17354294,"http://maps.google.com/maps?q=36.4960744439629,-77.1735429365062&z=20&ll=36.4960744439629,-77.1735429365062&t=k",PRECAST PRESTRESSED CONCRETE.CORED SLAB,END BNTS: PPC CAP ON STL.PILES,SR1356,UT TO  KIRBYS CREEK
2025,1,State,650065,BRIDGE,,NORTHAMPTON,1,301.7,42.5,6,7,7,,1997,,36.2262726,-77.36470615,"http://maps.google.com/maps?q=36.226272603564,-77.3647061469537&z=20&ll=36.226272603564,-77.3647061469537&t=k","RC DECK ON PPC GIRDERS (CONTINUOUS), SIP FORMS, APPROACH SLABS","E.BTS:RC CAP/STL PILES, INT.BTS:RC CAP ON DOUBLE STEEL PILES",US258,ROANOKE RIVER OVERFLOW
2025,1,State,650081,BRIDGE,,NORTHAMPTON,1,250,33.3,5,5,5,,1958,,36.5390553,-77.18818129,"http://maps.google.com/maps?q=36.5390552983758,-77.1881812915652&z=20&ll=36.5390552983758,-77.1881812915652&t=k",RC DECK ON I-BEAMS,E.BTS & I.BTS:RC CAP/PPC PILES,NC35,MEHERRIN RIVER
