Year Assigned,Month Assigned,Assignment Type,Structure Number,Structure Type,Parallel Structure,County,Division,Structure Length,Deck Width,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Year Built,Year Reconstructed,Latitude,Longitude,Google Maps Url,Superstructure,Substructure,Feature Carried,Feature Intersected
2024,2,State,130003,BRIDGE,,CALDWELL,11,120,27.2,7,8,7,,2008,,36.00138415,-81.77488164,"http://maps.google.com/maps?q=36.0013841491782,-81.7748816380919&z=20&ll=36.0013841491782,-81.7748816380919&t=k",RC FLOOR ON STEEL PLATE GIRDERS (S.I.P. METAL FORMS),"E.BTS:RC CAPS/ H-PILES @ 4`-4"" CENTERS",NC90,LOST COVE CREEK
2024,2,State,130004,BRIDGE,,CALDWELL,11,221,15.3,5,5,5,,1936,,35.99808525,-81.76852297,"http://maps.google.com/maps?q=35.9980852514343,-81.768522972654&z=20&ll=35.9980852514343,-81.768522972654&t=k",REINFORCED CONCRETE ARCH SLAB,ABUTS&INT.PIERS:REINFORCED CONCRETE,NC90,WILSON CREEK
2024,2,State,130008,BRIDGE,,CALDWELL,11,120,33.4,6,5,6,,1965,2013,35.8481558,-81.61691673,"http://maps.google.com/maps?q=35.8481557989275,-81.6169167331803&z=20&ll=35.8481557989275,-81.6169167331803&t=k",REINFORCED CONCRETE FLOOR ON I-BEAMS (LATEX MODIFIED CONC. OVERLAY),E.BTS.&INT.BTS:RC CAPS/H-PILES;INT.BTS:ENCASED IN CONC.,"US64,NC18",HUSBAND CREEK
2024,2,State,130012,BRIDGE,,CALDWELL,11,172,50.5,5,5,5,,1953,1972,35.80007429,-81.42407703,"http://maps.google.com/maps?q=35.8000742943386,-81.4240770270471&z=20&ll=35.8000742943386,-81.4240770270471&t=k",RC FLOOR ON RCDG & PPC GIRDERS (SPAN 4),E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAM,SR1107,US321
2024,2,State,130013,BRIDGE,R,CALDWELL,11,135,42.5,7,6,5,,1969,2013,35.80676525,-81.42858026,"http://maps.google.com/maps?q=35.8067652517482,-81.4285802620636&z=20&ll=35.8067652517482,-81.4285802620636&t=k","RC FLOOR ON PRESTR. CONCRETE GIRDERS (1 1/2"" LATEX MOD.CONC, OVERLAY)",E.BTS:RC CAPS/PPC PILES;INT.BTS:RC P&BEAM/PILE FTGS.,US321 NBL,SR1002
2024,2,State,130014,BRIDGE,L,CALDWELL,11,135,33.3,7,5,5,,1953,2013,35.80659392,-81.42870247,"http://maps.google.com/maps?q=35.8065939180977,-81.4287024682571&z=20&ll=35.8065939180977,-81.4287024682571&t=k","RC FLOOR ON PRESTR. CONCRETE GIRDERS (1 1/2"" LATEX MOD.CONCRETE OVERLAY)",E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAM,US321 SBL,SR1002
2024,2,State,130017,BRIDGE,,CALDWELL,11,19,20,7,6,5,,1962,1984,35.96802009,-81.60298863,"http://maps.google.com/maps?q=35.9680200860943,-81.6029886259818&z=20&ll=35.9680200860943,-81.6029886259818&t=k",TIMBER FLOOR ON I-BEAMS,E.BTS:TIM.CAPS/TIM.P&S/CONC.FTG;E.BT.2/DBL.TIM.SILLS,SR1350,LOVING BRANCH
2024,2,State,130018,PIPE,,CALDWELL,11,35,62,,,,6,1983,,35.93046829,-81.68366951,"http://maps.google.com/maps?q=35.9304682913805,-81.6836695070655&z=20&ll=35.9304682913805,-81.6836695070655&t=k",3 LINES 108 CM PIPE;61.82' ALONG CENTERLINE PIPE,,NC90,FRANKLIN BRANCH
2024,2,State,130023,BRIDGE,,CALDWELL,11,112,25.1,6,7,6,,1991,,35.95899204,-81.62451025,"http://maps.google.com/maps?q=35.9589920424973,-81.6245102489654&z=20&ll=35.9589920424973,-81.6245102489654&t=k",STEEL PLANK FLOOR ON I-BEAMS (BMD 29),E.BTS.& INT.BTS:STEEL CAPS/H-PILES,SR1354,MULBERRY CREEK
2024,2,State,130024,PIPE,,CALDWELL,11,40.5,147.5,,,,6,1954,1969,35.81851771,-81.44053338,"http://maps.google.com/maps?q=35.8185177135248,-81.4405333848826&z=20&ll=35.8185177135248,-81.4405333848826&t=k",SINGLE 37'-5 X 18'RC ARCH CULVERT;147'-6 ALONG CENTERLINE,CULVERT.(EXTENDED 53'-6 IN.1969),US321,LITTLE GUNPOWDER CREEK
2024,2,State,130025,PIPE,,CALDWELL,11,32,70,,,,5,1987,,35.95631414,-81.62147895,"http://maps.google.com/maps?q=35.9563141379696,-81.6214789471016&z=20&ll=35.9563141379696,-81.6214789471016&t=k",3 LINES 102 CM PIPE;70'ALONG CENTERLINE PIPE,,SR1368,LITTLE MULBERRY CREEK
2024,2,State,130033,BRIDGE,L,CALDWELL,11,158,33.4,6,6,5,,1954,1989,35.85041634,-81.47855039,"http://maps.google.com/maps?q=35.8504163358925,-81.478550387346&z=20&ll=35.8504163358925,-81.478550387346&t=k",REINFORCED CONCRETE DECK GIRDERS,E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAM,US321 SBL,GUNPOWDER CREEK
2024,2,State,130077,BRIDGE,,CALDWELL,11,137,33,7,7,8,,2017,,35.86526826,-81.59553994,"http://maps.google.com/maps?q=35.8652682605716,-81.5955399431383&z=20&ll=35.8652682605716,-81.5955399431383&t=k",PRESTRESSED CONCRETE CORED SLAB/BOX BEAMS,EBTS: RC CAPS/H-PILES; INT. BT: DRILLED PIER,SR1143,LOWER CREEK
2024,2,State,130084,BRIDGE,,CALDWELL,11,108,33.1,6,8,7,,2003,,35.81968763,-81.43861104,"http://maps.google.com/maps?q=35.8196876316294,-81.4386110365551&z=20&ll=35.8196876316294,-81.4386110365551&t=k",REINFORCED CONCRETE FLOOR ON CONTINUOUS PRESTRESSED GIRDERS,E.BTS:RC CAPS/H-PILES;INT.BTS:DRILLED SHAFT PIERS,SR1108,LITTLE GUNPOWDER CREEK
2024,2,State,130086,BRIDGE,,CALDWELL,11,137,28.1,5,4,5,,1974,,35.82028099,-81.42388808,"http://maps.google.com/maps?q=35.8202809870791,-81.4238880835867&z=20&ll=35.8202809870791,-81.4238880835867&t=k",STEEL PLANK FLOOR ON I-BEAMS(STD.BMD-16-28),E.BTS&INT.BTS:STEEL CAPS/H-PILES @ 5'-8 CTS.,SR1002,GUNPOWDER CREEK
2024,2,State,130090,BRIDGE,,CALDWELL,11,185,33.3,7,7,7,,2008,,35.84430339,-81.43630299,"http://maps.google.com/maps?q=35.8443033878549,-81.436302991092&z=20&ll=35.8443033878549,-81.436302991092&t=k",RC FLOOR ON CONT.PRESTR.CONC.GDRS.(S.I.P.METAL FORMS),E.BTS:RC CAPS/H-PILES;INT.BTS:RC CAPS/DRILLED SHAFT PIERS,SR1718,GUNPOWDER CREEK
2024,2,State,130091,BRIDGE,,CALDWELL,11,46,24.8,7,7,5,,1967,,35.83950579,-81.446815,"http://maps.google.com/maps?q=35.8395057905861,-81.4468150031584&z=20&ll=35.8395057905861,-81.4468150031584&t=k",PRESTRESSED CONCRETE CORED SLAB (BMD 19-24-90),E.BTS:PPC CAPS/STL.PILES ENCASED IN CONC.,SR1809,GUNPOWDER CREEK
2024,2,State,130110,BRIDGE,,CALDWELL,11,227,27,6,6,5,,1983,,35.92510462,-81.67468395,"http://maps.google.com/maps?q=35.9251046212304,-81.6746839496322&z=20&ll=35.9251046212304,-81.6746839496322&t=k",PRESTRESSED CONCRETE CORED SLAB,E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAM,SR1337,JOHNS RIVER
