Year Assigned,Month Assigned,Assignment Type,Structure Number,Structure Type,Parallel Structure,County,Division,Structure Length,Deck Width,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Year Built,Year Reconstructed,Latitude,Longitude,Google Maps Url,Superstructure,Substructure,Feature Carried,Feature Intersected
2024,9,State,550002,BRIDGE,,MACON,14,50,20,7,4,5,,1957,1982,35.16946453,-83.30287712,"http://maps.google.com/maps?q=35.169464532232,-83.3028771239486&z=20&ll=35.169464532232,-83.3028771239486&t=k",TIMBER FLOOR ON SALVAGED I-BEAMS & TIMBER JOISTS,E.BTS.&INT.BT:ALL TIMBER POST&SILLS/CONC.FTGS,SR1001,ELLIJAY CREEK
2024,9,State,550003,BRIDGE,,MACON,14,41,20.2,7,5,5,,1961,,35.17221686,-83.29858942,"http://maps.google.com/maps?q=35.1722168576384,-83.2985894199723&z=20&ll=35.1722168576384,-83.2985894199723&t=k",TIMBER FLOOR ON I-BEAMS,E.BTS:ALL TIMBER POST & SILLS @ 7' CENTERS,SR1526,ELLIJAY CREEK
2024,9,State,550004,BRIDGE,,MACON,14,36,18,6,4,4,,1955,1982,35.17766636,-83.29563995,"http://maps.google.com/maps?q=35.1776663629066,-83.2956399484529&z=20&ll=35.1776663629066,-83.2956399484529&t=k",TIMBER FLOOR ON SALVAGED I-BEAMS,E.BTS:TIMBER CAPS/TIMBER POST&SILLS @ 4'-2 CENTERS,SR1001,ELLIJAY CREEK
2024,9,State,550007,BRIDGE,,MACON,14,44,25.3,7,7,6,,1968,,35.19290912,-83.28118938,"http://maps.google.com/maps?q=35.1929091229207,-83.2811893750343&z=20&ll=35.1929091229207,-83.2811893750343&t=k",TIMBER FLOOR ON  I-BEAMS,ABUTS:YOUNT MASONRY,SR1001,NORTH PRONG ELLIJAY CREEK
2024,9,State,550016,BRIDGE,L,MACON,14,160,26.4,7,8,8,,2005,,35.15227039,-83.47744306,"http://maps.google.com/maps?q=35.1522703857474,-83.4774430553207&z=20&ll=35.1522703857474,-83.4774430553207&t=k",RENIF.CONC.FLR/CONT. PPC GIRDERS (S.I.P.METAL FORMS),E.BTS.RC CAPS/H-PILES; RC DRILLED SHAFT PIERS,SR1470,CARTOOGECHAYE CREEK
2024,9,State,550022,BRIDGE,,MACON,14,253,48,7,7,8,,2018,,35.18617415,-83.37200039,"http://maps.google.com/maps?q=35.1861741492041,-83.3720003941412&z=20&ll=35.1861741492041,-83.3720003941412&t=k","PRESTRESSED CONCRETE CORED SLAB, APPROACH SLAB","E.BTS:RC CAPS/H-PILES, INT.BTS:RC CAPS/RC DRILLED SHAFT PIER",US441 BUS.,LITTLE TENNESSEE RIVER
2024,9,State,550024,BRIDGE,,MACON,14,120,31.5,6,5,6,,1963,,35.22207113,-83.65997819,"http://maps.google.com/maps?q=35.2220711316352,-83.6599781946229&z=20&ll=35.2220711316352,-83.6599781946229&t=k",REINFORCED CONCRETE FLOOR ON I-BEAMS,E.BTS:RC CAPS/H-PILES;INT.BTS:RC POST&BEAM,SR1401,NANTAHALA RIVER
2024,9,State,550031,BRIDGE,L,MACON,14,31,25,7,6,7,,1961,,35.22626267,-83.59990185,"http://maps.google.com/maps?q=35.2262626702351,-83.5999018521908&z=20&ll=35.2262626702351,-83.5999018521908&t=k",TIMBER FLOOR ON I-BEAMS,E.BTS:TIMBER CAPS/TIMBER PILES @ VAR. CENTERS,SR1397,COLD SPRING CREEK
2024,9,State,550033,BRIDGE,,MACON,14,41,20,8,7,6,,1976,,35.00897411,-83.1598812,"http://maps.google.com/maps?q=35.0089741065103,-83.159881200095&z=20&ll=35.0089741065103,-83.159881200095&t=k",TIMBER FLOOR ON STEEL I-BEAMS,E.BTS:TIMBER CAPS/TIMBER POST&CONC.SILLS @ VAR. CTS.,SR1608,BIG CREEK
2024,9,State,550034,BRIDGE,,MACON,14,36,20,7,6,7,,1964,,35.01204285,-83.20736072,"http://maps.google.com/maps?q=35.0120428475519,-83.2073607193187&z=20&ll=35.0120428475519,-83.2073607193187&t=k",TIMBER FLOOR ON I-BEAMS,E.BTS:TIM.CAPS/TIM.POST&SILLS @ 5'-3 CTS;E.BT.1/CONC.FTG.,SR1613,CLEAR CREEK
