Year Assigned,Month Assigned,Assignment Type,Structure Number,Structure Type,Parallel Structure,County,Division,Structure Length,Deck Width,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Year Built,Year Reconstructed,Latitude,Longitude,Google Maps Url,Superstructure,Substructure,Feature Carried,Feature Intersected
2026,2,State,010003,BRIDGE,,ALEXANDER,12,203,33,7,7,7,,2021,,35.8961352,-81.05479183,"http://maps.google.com/maps?q=35.8961352017445,-81.0547918346165&z=20&ll=35.8961352017445,-81.0547918346165&t=k",PRECAST PRESTRESSED CONCRETE CORED SLABS; APPROACH SLABS,"E.BTS: RC CAP/H-PILES@6'-0"" CENTERS; INT.BTS. RC CAPS/RC DRILLED SHAFT PIER",SR1456,SOUTH YADKIN RIVER
2026,2,State,480001,BRIDGE,,IREDELL,12,192,28.3,6,7,5,,1960,,35.72905199,-80.77429402,"http://maps.google.com/maps?q=35.7290519893006,-80.7742940195917&z=20&ll=35.7290519893006,-80.7742940195917&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,E.BTS & INT.BTS:RC CAPS/PRECAST PRESTRESSED CONCRETE PILES,SR2362,THIRD CREEK
2026,2,State,480003,BRIDGE,,IREDELL,12,122,27.5,6,6,6,,1985,,35.66831597,-80.77543605,"http://maps.google.com/maps?q=35.6683159707416,-80.7754360502073&z=20&ll=35.6683159707416,-80.7754360502073&t=k",PRESTRESSED CONCRETE CORED SLAB (BMD-19),E.BTS & INT.BTS:PPC CAPS/H- PILES; BT.2:CONC.ENCASED,SR2362,WITHROW CREEK
2026,2,State,480015,BRIDGE,,IREDELL,12,58,22.4,6,5,5,,1959,1986,35.67048695,-80.78379156,"http://maps.google.com/maps?q=35.6704869474792,-80.7837915594827&z=20&ll=35.6704869474792,-80.7837915594827&t=k",TIMBER FLOOR ON I-BEAMS,E.BTS.& INT.BTS:STEEL CAPS/H-PILES,SR2383,WEATHERS CREEK
2026,2,State,480020,BRIDGE,,IREDELL,12,26,18,4,5,4,,1959,,35.70506524,-80.85960356,"http://maps.google.com/maps?q=35.7050652391144,-80.8596035572242&z=20&ll=35.7050652391144,-80.8596035572242&t=k",TIMBER DECK ON I-BEAMS & DOUBLE CHANNELS,E.BT.1:TIMBER POST&SILL/CONC.FTG; E.BT.2:TIMBER CAPS/TIMBER PILES,SR2402,I-L CREEK
2026,2,State,480022,BRIDGE,,IREDELL,12,161,20.1,7,4,5,,1959,,35.73978762,-80.82875651,"http://maps.google.com/maps?q=35.7397876226687,-80.8287565063259&z=20&ll=35.7397876226687,-80.8287565063259&t=k",TIMBER DECK ON CONTINUOUS I-BEAMS,E.BTS & INT.BTS:TIMBER CAPS/TIMBER PILES,SR2318,THIRD CREEK
2026,2,State,480056,BRIDGE,,IREDELL,12,225,28.5,6,4,5,,1961,,35.56437829,-80.86598002,"http://maps.google.com/maps?q=35.5643782916725,-80.8659800159267&z=20&ll=35.5643782916725,-80.8659800159267&t=k",REINFORCED CONCRETE DECK ON I-BEAMS,"E.BTS.& INT.BT.1&4:RC CAPS/H-PILES;INT.BT.1&4:FULL CONC.ENC.,BT2&3:RC P&B",SR1109,LAKE NORMAN
2026,2,State,480057,BRIDGE,,IREDELL,12,200,36.6,8,8,7,,2019,,35.62655558,-80.86611404,"http://maps.google.com/maps?q=35.6265555750391,-80.8661140356258&z=20&ll=35.6265555750391,-80.8661140356258&t=k",RC DECK ON PPC GIRDERS (CONT) ; SIP FORMS; APPROACH SLABS,"EBTS; RC CAPS ON STL. PILES, INT.BTS; STL. PIPE PILES",SR1302,LAKE NORMAN
2026,2,State,480059,BRIDGE,,IREDELL,12,288,31.4,6,6,6,,1961,,35.61693842,-80.89009401,"http://maps.google.com/maps?q=35.6169384194642,-80.8900940078443&z=20&ll=35.6169384194642,-80.8900940078443&t=k",RC DECK ON PRESTRESSED CONCRETE GIRDERS,E.BTS & BT#1&4:RC CAPS/H-PILES;BT#2&3:RC POST & BEAM,SR1303,LAKE NORMAN
2026,2,State,480062,BRIDGE,,IREDELL,12,136,31.3,6,6,6,,1961,,35.66577535,-80.89301723,"http://maps.google.com/maps?q=35.6657753485832,-80.8930172305422&z=20&ll=35.6657753485832,-80.8930172305422&t=k",RC DECK ON PRECAST PRESTRESSED CONCRETE GIRDERS,EBTS.& INT.BTS:RC CAPS/PPC PILES,SR1303,LAKE NORMAN
