X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER
2107699.46250997,735820.237212896,19880,910973,SR3670 ,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,WAKE,WALKWAY,267.9,177.9,NA,2107699.46250997,735820.2372129,-78.63693272,35.77122687,0920973,5,"Minor Arterial, Urban",FO,1,502,END BENTS: RC. ABUTS,"PPC T BEAMS (IR 85 PSF, OR 138 PSF)",99,99,3,,"http://maps.google.com/maps?q=35.7712268674531,-78.6369327174922&z=20&ll=35.7712268674531,-78.6369327174922&t=k",26,1
2075476.73922589,760752.615169555,19883,911071,REEDY CR.DAM SPILLWAY,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,WAKE,WALKWAY,,120,NA,2075476.73922589,760752.61516955,-78.74534304,35.83999812,0921071,5,"Local, Urban",FO,99,310,ABUTS:RC.,TIM. FLOOR ON STL. THRU TRUSS @ 9000 LBS.,5,0,3,,"http://maps.google.com/maps?q=35.839998123067,-78.7453430386804&z=20&ll=35.839998123067,-78.7453430386804&t=k",11,5
2090821.80072731,748269.874058977,19889,911103,"I-440,US1",PEDESTRAIN WALKWAY,PEDESTRIAN WALKWAY,WAKE,WALKWAY,91.89,1.89,NA,2090821.80072731,748269.87405898,-78.69369937,35.8055858,0921103,5,"Principal Arterial - Interstate, Urban",FO,99,312,"EBTS:RC ABUTS/PILE FTGS;IBTS:RC POST&PED./PILE FTGS",RC DECK/ STEEL FLOOR BEAM SYSTEM (THRU ARCH),99,99,3,,"http://maps.google.com/maps?q=35.8055857988306,-78.6936993680503&z=20&ll=35.8055857988306,-78.6936993680503&t=k",01,1
2301248.51865256,599399.124885067,20018,950009,US 117 BUS,PRIVATE PED.OVERPA,PEDESTRIAN WALKWAY,WAYNE,WALKWAY,71.4,161.4,NA,2301248.51865256,599399.12488507,-77.98917005,35.39274289,0960009,4,"Minor Arterial, Urban",FO,3,302,"(IR:14 PSF, OR: 23 PSF, POSTED: 23 PSF)",NON-SYSTEM PEDESTRIAN WALKWAY-VERTICAL CLEARANCE 16.3',99,99,3,,"http://maps.google.com/maps?q=35.3927428912117,-77.9891700482365&z=20&ll=35.3927428912117,-77.9891700482365&t=k",26,1
1059706.47090173,786220.008132309,20111,990299,SOUTH TOE RIVER,PED.WALKWAY(CLOSED,PEDESTRIAN WALKWAY,YANCEY,WALKWAY,,55,NA,1059706.47090173,786220.00813231,-82.17420429,35.86892587,1000299,13,"Local, Rural",N,99,313,STEEL CABLE SUSPENSION BRIDGE W/STL.TOWERS/CONC.PED,TIMBER FLOOR ON STEEL CABLE SUSPENSION (37 PSF) (63 PSF),0,0,3,,"http://maps.google.com/maps?q=35.8689258739467,-82.1742042870206&z=20&ll=35.8689258739467,-82.1742042870206&t=k",01,5
1052547.52721439,765998.029547483,20112,990302,SOUTH TOE RIVER,PED WALK (CLOSED),PEDESTRIAN WALKWAY,YANCEY,WALKWAY,,135,NA,1052547.52721439,765998.02954748,-82.19615739,35.81276882,1000302,13,"Local, Rural",FO,99,313,"2 STEEL TOWERS/CONC.FTGS;TIMBER POST&SILLS",TIMBER FLOOR ON TIMBER JOISTS & STEEL SUSPENSION (30 PSF) (51 PSF),0,0,3,,"http://maps.google.com/maps?q=35.8127688193693,-82.1961573859766&z=20&ll=35.8127688193693,-82.1961573859766&t=k",01,5
1049349.48702255,754102.572367311,20113,990303,SOUTH TOE RIVER & SR1159,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,YANCEY,WALKWAY,152,62,NA,1049349.48702255,754102.57236731,-82.20564286,35.77982234,1000303,13,"Local, Rural",FO,99,313,STEEL CABLE SUSPENSION BRIDGE W/STL.TOWERS.CONC FTG.,TIMBER FLOOR ON CABLE SUSPENSION (29PSF) (51PSF),99,99,3,,"http://maps.google.com/maps?q=35.7798223405426,-82.2056428572844&z=20&ll=35.7798223405426,-82.2056428572844&t=k",01,6
976938.890374213,695449.981011316,20414,100859,SR2416,PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,BUNCOMBE,WALKWAY,78,135,NA,976938.89037421,695449.98101132,-82.44276955,35.61211156,0110859,13,"Local, Urban",FO,2,310,"ABUT1:RC CAP ON FOOTING;ABUT2:RC;INT.BTS:STEELTOWER ON RCPED","RC FLOOR ON STEEL PRATT THRU TRUSS (S.I.P. METAL FORMS) (64.4 PSF, 259 PSF)",99,99,3,,"http://maps.google.com/maps?q=35.6121115554605,-82.4427695473539&z=20&ll=35.6121115554605,-82.4427695473539&t=k",01,1
2106783.55554913,739855.220612735,20597,911335,SALISBURY ST.,PEDESTRIAN,PEDESTRIAN WALKWAY,WAKE,WALKWAY,85,175,NA,2106783.55554913,739855.22061273,-78.63997099,35.78232128,0921335,5,"Local, Urban",FO,1,303,"RC ABUTS (OR110PSF, IR85PSF)",RC FLOOR/STL.GIRDER & FLOOR BEAM SYSTEM,99,99,3,,"http://maps.google.com/maps?q=35.7823212817114,-78.6399709857497&z=20&ll=35.7823212817114,-78.6399709857497&t=k",01,1
2106292.95712088,739876.220898807,20598,911336,"US70W,US401W,NC50N",PEDESTRIAN WALKWAY,PEDESTRIAN WALKWAY,WAKE,WALKWAY,85,175,NA,2106292.95712088,739876.22089881,-78.64162481,35.78238385,0921336,5,"Other Principal Arterial, Urban",FO,0,303,"RC ABUTS (OR110PSF, IR85PSF)",RC FLOOR/ STL.GIRDER & FLOOR BEAM SYSTEM,99,99,3,,"http://maps.google.com/maps?q=35.7823838523672,-78.6416248063116&z=20&ll=35.7823838523672,-78.6416248063116&t=k",01,1
