X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER
1326422.22585496,1007262.87870973,327,020017,PRATHERS CREEK,NC113,PIPE,ALLEGHANY,30000113,119.35,29.35,30000113003,1326422.22585496,1007262.87870973,-81.29143746,36.49604108,0030017,11,"Major Collector, Rural",N,5,319,CENTERLINE PIPE,"2 LINES15'X6'-11 STR.STL.PLATE PIPE ARCH;48'-9 ALONG",99,99,1,5.93246785,"http://maps.google.com/maps?q=36.4960410823903,-81.2914374585091&z=20&ll=36.4960410823903,-81.2914374585091&t=k",01,5
1366819.84190997,1022753.30015664,334,020025,UT TO NEW RIVER,SR1404,PIPE,ALLEGHANY,40001404,332.12,242.12,40001404003,1366819.84190997,1022753.30015664,-81.15519764,36.54105806,0030025,11,"Local, Rural",N,2,319,,"2 LINES 114X75 CMPA;40' ALONG CENTERLINE PIPE",99,99,1,0.05139401,"http://maps.google.com/maps?q=36.5410580590933,-81.155197636501&z=20&ll=36.5410580590933,-81.155197636501&t=k",01,5
1358084.08707181,1026405.45066072,358,020060,ROCK CREEK,SR1345,PIPE,ALLEGHANY,40001345,49.01,139.01,40001345003,1358084.08707181,1026405.45066072,-81.18519617,36.55056135,0030060,11,"Local, Rural",N,99,319,,"2 LINES 144X90 CM PIPE ARCH;54.5' ALONG CENTERLINE PIPE",99,99,1,1.22349281,"http://maps.google.com/maps?q=36.5505613450949,-81.1851961674815&z=20&ll=36.5505613450949,-81.1851961674815&t=k",01,5
1347957.56598631,972733.138714224,359,020061,UT TO MEADOW FORK,SR 1143,PIPE,ALLEGHANY,40001143,239,149,40001143003,1347957.56598631,972733.13871422,-81.2155801,36.40257185,0030061,11,"Local, Rural",N,9,919,,"SINGLE 24'-0"" X5'-0""  ALUMINUM BOX CULVERT; 36' ALONG CENTERLINE OF PIPE ",99,99,1,3.0000654,"http://maps.google.com/maps?q=36.4025718467705,-81.2155800984788&z=20&ll=36.4025718467705,-81.2155800984788&t=k",01,5
1391927.99248096,1025759.85254247,361,020064,MOCCASIN CREEK,SR1412,PIPE,ALLEGHANY,40001412,327.99,237.99,40001412003,1391927.99248096,1025759.85254247,-81.06997398,36.55078063,0030064,11,"Local, Rural",,3,319,,"2 LINES 112X75 CM PIPE ARCH;50' ALONG CENTERLINE PIPE",99,99,1,0.60188129,"http://maps.google.com/maps?q=36.550780631939,-81.0699739847654&z=20&ll=36.550780631939,-81.0699739847654&t=k",01,5
1379348.22433347,990794.792223394,366,020100,PINE SWAMP CREEK,SR1125,PIPE,ALLEGHANY,40001125,215.83,125.83,40001125003,1379348.22433347,990794.79222339,-81.11025488,36.45404546,0030100,11,"Local, Rural",N,1,319,,"2 LINES 117X79 CM PIPE ARCH; 40'-2"" ALONG C/L PIPE",99,99,1,0.06476075,"http://maps.google.com/maps?q=36.4540454598518,-81.1102548842997&z=20&ll=36.4540454598518,-81.1102548842997&t=k",01,5
1425079.12237281,1020555.33014314,367,020106,CRAB CREEK,SR1445,PIPE,ALLEGHANY,40001445,86.28,176.28,40001445003,1425079.12237281,1020555.33014314,-80.95680315,36.53833649,0030106,11,"Local, Rural",N,8,319,,"2 LNS.103X74 CM PIPE ARCH;40' ALONG CENTERLINE PIPE",99,99,1,1.1072104,"http://maps.google.com/maps?q=36.5383364917005,-80.9568031454232&z=20&ll=36.5383364917005,-80.9568031454232&t=k",01,5
1317205.45098147,1020154.62589206,368,020107,KINGS CREEK,SR1359,PIPE,ALLEGHANY,40001359,86.41,176.41,40001359003,1317205.45098147,1020154.62589206,-81.32380698,36.53084921,0030107,11,"Local, Rural",N,5,319,,"2 LINES 96 CM PIPE;40'-9 ALONG CENTERLINE PIPE",99,99,1,0.0245134,"http://maps.google.com/maps?q=36.5308492093281,-81.323806982623&z=20&ll=36.5308492093281,-81.323806982623&t=k",01,5
1419219.99465539,1011134.57109757,380,020138,LITTLE PINE CREEK,SR1459,PIPE,ALLEGHANY,40001459,314.08,224.08,40001459003,1419219.99465539,1011134.57109757,-80.97610185,36.5121497,0030138,11,"Local, Rural",N,3,319,,"3 LINES 84"" CM PIPE ; 70' ALONG CENTERLINE PIPE",99,99,1,1.07458801,"http://maps.google.com/maps?q=36.5121497037612,-80.9761018523899&z=20&ll=36.5121497037612,-80.9761018523899&t=k",01,5
1405530.11652339,980755.686645478,392,020194,BRUSH CREEK,SR1103,PIPE,ALLEGHANY,40001103,259.02,169.02,40001103003,1405530.11652339,980755.68664548,-81.02056528,36.42797484,0030194,11,"Local, Rural",N,1,319,,"2 LINES 128X83 CMPA;50' ALONG CENTERLINE PIPE",99,99,1,0.44042017,"http://maps.google.com/maps?q=36.4279748393949,-81.0205652810598&z=20&ll=36.4279748393949,-81.0205652810598&t=k",01,5
1327668.34442572,1006576.11007014,393,020204,PRATHERS CREEK,SR1328,PIPE,ALLEGHANY,40001328,270,180,40001328003,1327668.34442572,1006576.11007014,-81.28714598,36.49423433,0030204,11,"Local, Rural",,3,319,,"2 LINES 102X71 CM PIPE ARCH; 50' ALONG CENERLINE PIPE",99,99,1,1.332496,"http://maps.google.com/maps?q=36.4942343319929,-81.2871459835295&z=20&ll=36.4942343319929,-81.2871459835295&t=k",01,5
1418998.44785438,999661.812875137,413,020301,UT TO BIG PINE CREEK,SR1463,PIPE,ALLEGHANY,40001463,184.61,94.61,40001463003,1418998.44785438,999661.81287514,-80.97607851,36.4806346,0030301,11,"Local, Rural",N,5,319,,"1 LINE 240X72 CMPA;59'-10 ALONG CENTERLINE PIPE",99,99,1,5.59600799,"http://maps.google.com/maps?q=36.4806346047897,-80.9760785144181&z=20&ll=36.4806346047897,-80.9760785144181&t=k",01,5
1708495.32686472,466124.476408646,429,030020,SAVANNAH CREEK,SR1742,PIPE,ANSON,40001742,320.06,230.06,40001742004,1708495.32686472,466124.47640865,-79.97375047,35.02683381,0040020,10,"Local, Rural",N,4,319,CONCRETE HEADWALL,"2 LINES 142"" X 90"" CM PIPE ARCH, 51'5"" ALONG CENTERLINE PIPE",99,99,1,0.54275301,"http://maps.google.com/maps?q=35.0268338103098,-79.9737504673107&z=20&ll=35.0268338103098,-79.9737504673107&t=k",01,5
1695053.94528297,437266.562339813,446,030040,REEDY FORK BRANCH,SR1812,PIPE,ANSON,40001812,300.53,210.53,40001812004,1695053.94528297,437266.56233981,-80.01765918,34.94717305,0040040,10,"Local, Rural",N,4,319,HAND PLACED ROCK HEADWALLS,"2 LINES: 138"" X 96"" CM PIPE ARCH, 60'0"" ALONG CENTERLINE OF PIPE ",99,99,1,1.42394856,"http://maps.google.com/maps?q=34.947173048841,-80.0176591805647&z=20&ll=34.947173048841,-80.0176591805647&t=k",01,5
1694060.8560618,425761.496767312,450,030047,NORTH FORK JONES CREEK,SR1821,PIPE,ANSON,40001821,103.8,13.8,40001821004,1694060.8560618,425761.49676731,-80.02057835,34.91553353,0040047,10,"Local, Rural",N,3,319,SOIL CEMENT HEADWALLS,"3 LINES OF 126"" X 85"" CM PIPE ARCH, 50' 6"" ALONG CENTERLINE OF PIPE ARCH",99,99,1,2.52555731,"http://maps.google.com/maps?q=34.9155335335086,-80.0205783501196&z=20&ll=34.9155335335086,-80.0205783501196&t=k",01,5
