X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER
948291.234415054,691582.002198726,17554,100166,US70,BEAUCATCHER TUNNEL,TUNNEL,BUNCOMBE,20000070,336.31,336.31,20000070011,948291.23441505,691582.00219873,-82.5386293,35.59872398,0110166,13,"Other Principal Arterial, Urban",FO,5,118,,MASS CONCRETE ARCH TUNNEL,99,99,0,15.40899666,"http://maps.google.com/maps?q=35.5987239820648,-82.5386293032374&z=20&ll=35.5987239820648,-82.5386293032374&t=k",01,1
800187.16776289,753853.828442231,18631,430015,I40 EBL,TUNNEL,TUNNEL,HAYWOOD,10000040,353.62,353.62,10000040044,800187.16776289,753853.82844223,-83.04496367,35.75414613,0440015,14,"Principal Arterial - Interstate, Rural",FO,2,118,,MASS CONCRETE ARCH TUNNEL,99,99,0,4.12410166,"http://maps.google.com/maps?q=35.7541461274254,-83.0449636741806&z=20&ll=35.7541461274254,-83.0449636741806&t=k",01,1
800208.638520464,753920.360461399,18632,430017,I40 WBL,TUNNEL,TUNNEL,HAYWOOD,10600040,177.44,177.44,10600040044,800208.63852046,753920.3604614,-83.0449005,35.75433116,0440017,14,"Principal Arterial - Interstate, Rural",FO,2,118,,MASS CONCRETE ARCH TUNNEL,99,99,0,32.53336045,"http://maps.google.com/maps?q=35.7543311635425,-83.0449005037007&z=20&ll=35.7543311635425,-83.0449005037007&t=k",01,1
802179.051902473,742182.604737476,18647,430104,I-40 EBL,TUNNEL,TUNNEL,HAYWOOD,10000040,200,200,10000040044,802179.05190247,742182.60473748,-83.03665667,35.72233059,0440104,14,"Principal Arterial - Interstate, Rural",FO,28,118,,MASS CONCRETE ARCH TUNNEL,99,99,0,8.28167174,"http://maps.google.com/maps?q=35.7223305931727,-83.0366566664048&z=20&ll=35.7223305931727,-83.0366566664048&t=k",01,1
