X,Y,OBJECTID,BRDG_NBR,FTR_INTRSC,F_CARRIED,BRDG_TYP_NM,COUNTY,ROUTE,RD_ANGLE,STR_ANGLE,RTE_ID,X_COORD,Y_COORD,LONG_DD,LAT_DD,BSIP_BRDG_NBR,DIVISION,FUNC_CLASS,FUNC_OBSOL,DETOUR_LEN,STRTYPMAIN,SUPERSTRUC,SUBSTRUCTU,POSTED_SV,POSTED_TTST,SERVICEON,MP,GOOGLE_LINK,MAINT_RESP,SERVICEUNDER,AADT,AADT_YR
1770893.70928556,602992.258118734,42265,610041,"I73, I74, US220",NORFOLK SOUTH.R R,RAILROAD,MONTGOMERY,RAILROAD,98,20,NA,1770893.70928556,602992.25811873,-79.76886357,35.4043917,0620041,8,"Principal Arterial - Interstate, Rural",FO,2,302,"END BTS:RC CAP & STEEL PILES, INT. BTS:RC POST & BEAM , BT#1&2 W/PILE FTGS.",REINFORCED CONCRETE DECK ON I-BEAMS & PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=35.4043917009866,-79.7688635672616&z=20&ll=35.4043917009866,-79.7688635672616&t=k",27,1,,
1694508.25313288,534220.374009222,42267,610233,SR1188,NRFK & SOUTHERN,RAILROAD,MONTGOMERY,RAILROAD,120,30,NA,1694507.37354147,534221.95471473,-80.02281667,35.21354993,0620233,8,"Local, Rural",FO,2,302,"ABUTMENTS:REINFORCED CONCRETE STUB,INTBTS:RC POST & BEAM",RC DECK ON STEEL PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=35.2135499348162,-80.0228166713341&z=20&ll=35.2135499348162,-80.0228166713341&t=k",27,1,,
1859028.61109939,524565.088201731,42270,620029,NC5,NORFOLK SO. R.R.,RAILROAD,MOORE,RAILROAD,100,145,NA,1859028.61109939,524565.08820173,-79.4718443,35.19041975,0630029,8,"Minor Arterial, Urban",FO,1,302,ABUTMENTS:MASS CONCRETE WITH PILE FOOTINGS,TIMBER TIES ON DECK PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=35.1904197477867,-79.4718443032766&z=20&ll=35.1904197477867,-79.4718443032766&t=k",27,1,,
1912676.09960473,544436.326346308,42271,620075,US1 BUS.,S.B.C.L. R.,RAILROAD,MOORE,RAILROAD,65,35,NA,1912676.09960473,544436.32634631,-79.29247851,35.24558649,0630075,8,"Major Collector, Rural",FO,0,302,ABUTMENTS:REINFORCED CONCRETE FULL HEIGHT,REINFORCED CONCRETE DECK ON PLATE GIRDERS,99,99,2,,"http://maps.google.com/maps?q=35.2455864946467,-79.2924785078464&z=20&ll=35.2455864946467,-79.2924785078464&t=k",27,1,,
2261135.98142372,739934.382855982,42278,630043,NC581,NORFOLKSOU,RAILROAD,NASH,RAILROAD,70,155,NA,2261135.98142372,739934.38285598,-78.11957669,35.77988935,0640043,4,"Major Collector, Rural",FO,1,302,NULL,STEEL GIRDERS,99,99,2,,"http://maps.google.com/maps?q=35.7798893485026,-78.1195766918212&z=20&ll=35.7798893485026,-78.1195766918212&t=k",27,1,,
2423806.59604247,984562.410987392,42321,650056,US301,SCL.RR,RAILROAD,NORTHAMPTON,RAILROAD,88,30,NA,2423806.59604247,984562.41098739,-77.55922276,36.44660002,0660056,1,"Other Principal Arterial, Urban",FO,2,101,RC FULL HEIGHT ABUTMENT,REINFORCED CONCRETE SLAB,99,99,2,,"http://maps.google.com/maps?q=36.4466000245808,-77.5592227640173&z=20&ll=36.4466000245808,-77.5592227640173&t=k",27,1,,
1953812.25125614,846763.488423064,42332,670022,SR1239,RAILROAD OVERPASS,RAILROAD,ORANGE,RAILROAD,51,141,NA,1953812.25125614,846763.48842306,-79.15629364,36.07644679,0680022,7,"Minor Arterial, Rural",FO,0,302,"ABUTMENTS:RC FULL HEIGHT, INTERIOR BENTS:RC SOLID PIERS",CONCRETE ENCASED I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=36.0764467884051,-79.1562936369752&z=20&ll=36.0764467884051,-79.1562936369752&t=k",27,1,,
1982677.69516556,832904.744487062,42336,670243,SR1710,SOUTHERN RR,RAILROAD,ORANGE,RAILROAD,238,140,NA,1982677.69516556,832904.74448706,-79.05858891,36.0384624,0680243,7,"Collector, Urban",FO,2,302,"ABUTMENTS:RC STUB, INTERIOR BENTS:RC POST & BEAM",TIMBER TIES ON I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=36.0384624030487,-79.0585889091498&z=20&ll=36.0384624030487,-79.0585889091498&t=k",27,1,,
1989996.89739063,830914.24321872,42337,670244,SR1710,SOUTHERN RR,RAILROAD,ORANGE,RAILROAD,359,269,NA,1989996.89739063,830914.24321872,-79.03383102,36.03300377,0680244,7,"Collector, Urban",FO,2,302,END & INTERIOR BENTS:TIMBER CAPS & PILES,"TIMBER TIES ON APPROACH:I-BEAMS (CONT.), MAIN:PLATE GIRDERS",99,99,2,,"http://maps.google.com/maps?q=36.0330037707377,-79.0338310196876&z=20&ll=36.0330037707377,-79.0338310196876&t=k",27,1,,
1997107.24078147,829527.715808064,42338,670245,SR1715,SOUTHERN RR,RAILROAD,ORANGE,RAILROAD,240,150,NA,1997105.78376339,829524.82244115,-79.00978794,36.02919126,0680245,7,"Local, Urban",FO,2,302,ABUTMENTS & INTERIOR BENTS:MASS CONCRETE,TIMBER TIES ON I-BEAMS,99,99,2,,"http://maps.google.com/maps?q=36.0291912556227,-79.0097879350032&z=20&ll=36.0291912556227,-79.0097879350032&t=k",27,1,,
